state,year,packs_percap
MA,1971,121.4
MA,1972,117.9
MA,1973,121.2
MA,1974,124.3
MA,1975,126.1
MA,1976,116.9
MA,1977,118.9
MA,1978,120.5
MA,1979,118.2
Ml,1970,128.6
Ml,1971,126.1
Ml,1972,131.4
Ml,1973,133.7
Ml,1974,138.8
Ml,1975,136.8
Ml,1976,138
Ml,1977,140.3
Ml,1978,141.8
Ml,1979,140.9
MN,1970,104.3
MN,1971,116.4
MN,1972,96.8
MN,1973,106.8
MN,1974,110.6
MN,1975,111.5
MN,1976,116.7
MN,1977,117.2
MN,1978,118.9
MN,1979,118.3
MS,1970,93.4
MS,1971,105.4
MS,1972,112.1
MS,1973,115
MS,1974,117.1
MS,1975,116.8
MS,1976,120.9
MS,1977,122.1
MS,1978,124.9
MS,1979,123.9
MO,1970,121.3
MO,1971,127.6
MO,1972,130
MO,1973,132.1
MO,1974,135.4
MO,1975,135.6
MO,1976,139.5
MO,1977,140.8
MO,1978,141.8
MO,1979,140.2
MT,1970,111.2
MT,1971,115.6
MT,1972,122.2
MT,1973,119.9
MT,1974,121.9
MT,1975,123.7
MT,1976,124.9
MT,1977,127
MT,1978,127.2
MT,1979,120.3
NE,1970,108.1
NE,1971,108.6
NE,1972,104.9
NE,1973,106.6
NE,1974,110.5
NE,1975,114.1
NE,1976,118.1
NE,1977,117.7
NE,1978,117.4
NE,1979,116.1
NV,1970,189.5
NV,1971,190.5
NV,1972,198.6
NV,1973,201.5
NV,1974,204.7
NV,1975,205.2
NV,1976,201.4
NV,1977,190.8
NV,1978,187
NV,1979,183.3
NH,1970,265.7
NH,1971,278
NH,1972,296.2
NH,1973,279
NH,1974,269.8
NH,1975,269.1
NH,1976,290.5
NH,1977,278.8
NH,1978,269.6
NH,1979,254.6
NJ,1970,120.7
NJ,1971,125.1
NJ,1972,128.4
NJ,1973,120.2
NJ,1974,121.4
NJ,1975,122.3
NJ,1976,122.4
NJ,1977,122.8
NJ,1978,123.9
NJ,1979,123.8
NM,1970,90
NM,1971,92.6
NM,1972,99.3
NM,1973,98.9
NM,1974,100.3
NM,1975,103.1
NM,1976,102.4
NM,1977,102.4
NM,1978,103.1
NM,1979,101
NY,1970,119
NY,1971,123.3
NY,1972,119.9
NY,1973,118.7
NY,1974,121.6
NY,1975,123.9
NY,1976,124.6
NY,1977,125.5
NY,1978,126.4
NY,1979,124.4
NC,1970,172.4
NC,1971,187.6
NC,1972,214.1
NC,1973,226.5
NC,1974,227.3
NC,1975,226
NC,1976,230.2
NC,1977,217
NC,1978,205.5
NC,1979,197.3
ND,1970,93.8
ND,1971,98.5
ND,1972,103.8
ND,1973,108.7
ND,1974,110.5
ND,1975,117.9
ND,1976,125.4
ND,1977,122.2
ND,1978,121.9
ND,1979,121.3
OH,1970,121.6
OH,1971,124.6
OH,1972,124.4
OH,1973,120.5
OH,1974,122.1
OH,1975,122.5
OH,1976,124.6
OH,1977,127.3
OH,1978,131.3
OH,1979,130.9
OK,1970,108.4
OK,1971,115.4
OK,1972,121.7
OK,1973,124.1
OK,1974,130.5
OK,1975,132.9
OK,1976,138.6
OK,1977,140.4
OK,1978,143.6
OK,1979,141.6
OR,1970,157
OR,1971,157.9
OR,1972,160.4
OR,1973,155.3
OR,1974,155.8
OR,1975,154.4
OR,1976,156.5
OR,1977,155.6
OR,1978,156.3
OR,1979,150.7
PA,1970,107.3
PA,1971,106.3
PA,1972,109
PA,1973,110.7
PA,1974,114.2
PA,1975,114.6
PA,1976,118.8
PA,1977,120.1
PA,1978,122.3
PA,1979,122.6
Rl,1970,123.9
Rl,1971,123.2
Rl,1972,134.4
Rl,1973,142
Rl,1974,146.1
Rl,1975,154.7
Rl,1976,150.2
Rl,1977,148.8
Rl,1978,146.8
Rl,1979,145.8
SC,1970,103.6
SC,1971,115
SC,1972,118.7
SC,1973,125.5
SC,1974,129.7
SC,1975,130.5
SC,1976,136.8
SC,1977,137.2
SC,1978,140.4
SC,1979,135.7
SD,1970,92.7
SD,1971,96.7
SD,1972,103
SD,1973,103.5
SD,1974,108.4
SD,1975,113.5
SD,1976,116.7
SD,1977,115.6
SD,1978,116.9
SD,1979,117.4
TN,1970,99.8
TN,1971,106.3
TN,1972,111.5
TN,1973,109.7
TN,1974,114.8
TN,1975,117.4
TN,1976,121.7
TN,1977,124.6
TN,1978,127.3
TN,1979,127.2
TX,1970,106.4
TX,1971,108.9
TX,1972,108.6
TX,1973,110.4
TX,1974,114.7
TX,1975,116
TX,1976,121.4
TX,1977,124.2
TX,1978,126.6
TX,1979,126.4
UT,1970,65.5
UT,1971,67.7
UT,1972,71.3
UT,1973,72.7
UT,1974,75.6
UT,1975,75.8
UT,1976,77.9
UT,1977,78.9
UT,1978,79.6
UT,1979,79.1
VT,1970,122.6
VT,1971,124.4
VT,1972,138
VT,1973,146.8
VT,1974,151.8
VT,1975,155.5
VT,1976,171.1
VT,1977,169.4
VT,1978,162.4
VT,1979,160.9
VA,1970,124.3
VA,1971,128.4
VA,1972,137
VA,1973,143.1
VA,1974,149.6
VA,1975,152.7
VA,1976,158.1
VA,1977,157.7
VA,1978,155.9
VA,1979,151.8
WA,1970,96.7
WA,1971,97
WA,1972,88.5
WA,1973,91
WA,1974,98.6
WA,1975,99.5
WA,1976,100.3
WA,1977,99.3
WA,1978,101.3
WA,1979,101.4
WV,1970,114.5
WV,1971,111.5
WV,1972,117.5
WV,1973,116.6
WV,1974,119.9
WV,1975,123.2
WV,1976,129.7
WV,1977,133.9
WV,1978,131.6
WV,1979,122.1
Wl,1970,106.4
Wl,1971,105.4
Wl,1972,108.8
Wl,1973,109.5
Wl,1974,111.8
Wl,1975,113.5
Wl,1976,115.4
Wl,1977,117.2
Wl,1978,116.7
Wl,1979,117.1
WY,1970,132.2
WY,1971,131.7
WY,1972,140
WY,1973,141.2
WY,1974,145.8
WY,1975,160.7
WY,1976,161.5
WY,1977,160.4
WY,1978,160.3
WY,1979,168.6
AL,1980,123.2
AL,1981,119.6
AL,1982,119.1
AL,1983,116.3
AL,1984,113
AL,1985,114.5
AL,1986,116.3
AL,1987,114
AL,1988,112.1
AL,1989,105.6
AK,1980,134
AK,1981,144
AK,1982,148.3
AK,1983,146.9
AK,1984,133.6
AK,1985,128.9
AK,1986,126.3
AK,1987,110.4
AK,1988,80
AK,1989,94.4
AZ,1980,126.8
AZ,1981,113.8
AZ,1982,113.5
AZ,1983,111.1
AZ,1984,107.1
AZ,1985,107.1
AZ,1986,107.9
AZ,1987,106.1
AZ,1988,102.2
AZ,1989,96.8
AR,1980,131.8
AR,1981,128.7
AR,1982,127.4
AR,1983,128
AR,1984,123.1
AR,1985,125.8
AR,1986,126
AR,1987,122.3
AR,1988,121.5
AR,1989,118.3
CA,1980,120.2
CA,1981,118.6
CA,1982,115.4
CA,1983,110.8
CA,1984,104.8
CA,1985,102.8
CA,1986,99.7
CA,1987,97.5
CA,1988,90.1
CA,1989,82.4
CO,1980,131
CO,1981,133.8
CO,1982,130.5
CO,1983,125.3
CO,1984,119.7
CO,1985,112.4
CO,1986,109.9
CO,1987,102.4
CO,1988,94.6
CO,1989,88.8
CT,1980,118
CT,1981,116.4
CT,1982,114.7
CT,1983,114.1
CT,1984,112.5
CT,1985,111
CT,1986,108.5
CT,1987,109
CT,1988,104.8
CT,1989,100.6
DE,1980,150.5
DE,1981,152.6
DE,1982,154.1
DE,1983,149.6
DE,1984,144
DE,1985,144.5
DE,1986,142.4
DE,1987,141
DE,1988,137.1
DE,1989,131.7
DC,1980,129.7
DC,1981,131.9
DC,1982,132
DC,1983,124.5
DC,1984,124.6
DC,1985,122.1
DC,1986,117.2
DC,1987,113
DC,1988,105.4
DC,1989,101.1
FL,1980,139
FL,1981,132.8
FL,1982,131.8
FL,1983,127.6
FL,1984,124.7
FL,1985,124.2
FL,1986,124.7
FL,1987,125.1
FL,1988,119.5
FL,1989,113.8
GA,1980,134
GA,1981,131.7
GA,1982,131.2
GA,1983,128.6
GA,1984,126.3
GA,1985,128.8
GA,1986,129
GA,1987,129.3
GA,1988,124.1
GA,1989,117.1
Hl,1980,89.4
Hl,1981,85.6
Hl,1982,77.7
Hl,1983,80
Hl,1984,75.7
Hl,1985,69.8
Hl,1986,61.2
Hl,1987,54.7
Hl,1988,55.6
Hl,1989,57.4
ID,1980,115.2
ID,1981,114.1
ID,1982,111.5
ID,1983,111.3
ID,1984,103.6
ID,1985,100.7
ID,1986,96.7
ID,1987,95
ID,1988,84.5
ID,1989,78.4
IL,1980,135.2
IL,1981,133
IL,1982,130.7
IL,1983,127.9
IL,1984,124
IL,1985,121.6
IL,1986,118.2
IL,1987,109.5
IL,1988,107.6
IL,1989,104.6
IN,1980,146.9
IN,1981,148.5
IN,1982,147.7
IN,1983,143
IN,1984,137.8
IN,1985,135.3
IN,1986,137.6
IN,1987,134
IN,1988,134
IN,1989,132.5
IA,1980,124.6
IA,1981,132.9
IA,1982,116.2
IA,1983,115.6
IA,1984,111.2
IA,1985,109.4
IA,1986,104.1
IA,1987,101.1
IA,1988,100.2
IA,1989,94.4
KS,1980,127.1
KS,1981,132
KS,1982,130.9
KS,1983,127.6
KS,1984,121.7
KS,1985,115.7
KS,1986,109.4
KS,1987,105.2
KS,1988,103.2
KS,1989,96.5
KY,1980,215.3
KY,1981,209.7
KY,1982,210.6
KY,1983,201.1
KY,1984,183.2
KY,1985,182.4
KY,1986,179.8
KY,1987,171.2
KY,1988,173.2
KY,1989,171.6
LA,1980,143.8
LA,1981,144
LA,1982,143.9
LA,1983,133.7
LA,1984,128.9
LA,1985,125
LA,1986,121.2
LA,1987,116.5
LA,1988,110.9
LA,1989,103.6
ME,1980,141.2
ME,1981,138.9
ME,1982,139.5
ME,1983,135.4
ME,1984,135.5
ME,1985,127.9
ME,1986,119
ME,1987,125
ME,1988,125
ME,1989,122.4
MD,1980,131.5
MD,1981,137.1
MD,1982,131.3
MD,1983,128.2
MD,1984,122.5
MD,1985,121.9
MD,1986,121.8
MD,1987,119.3
MD,1988,115
MD,1989,109
MA,1980,120.5
MA,1981,123.2
MA,1982,122.3
MA,1983,119.8
MA,1984,116
MA,1985,117.2
MA,1986,115.8
MA,1987,113.8
MA,1988,111.7
MA,1989,104.4
Ml,1980,140.7
Ml,1981,139.5
Ml,1982,137.3
Ml,1983,128.3
Ml,1984,128.2
Ml,1985,126.6
Ml,1986,126.5
Ml,1987,122.1
Ml,1988,121.1
Ml,1989,116.6
MN,1980,117.7
MN,1981,120.8
MN,1982,119.4
MN,1983,113.2
MN,1984,110.8
MN,1985,113
MN,1986,104.8
MN,1987,108.8
MN,1988,94.1
MN,1989,92.3
MS,1980,127
MS,1981,125.3
MS,1982,125.8
MS,1983,122.3
MS,1984,116.4
MS,1985,115.3
MS,1986,113.2
MS,1987,110
MS,1988,109
MS,1989,108.3
MO,1980,142.1
MO,1981,140.5
MO,1982,139.7
MO,1983,134.1
MO,1984,130
MO,1985,129.2
MO,1986,128.8
MO,1987,128.7
MO,1988,127.4
MO,1989,122.8
MT,1980,122
MT,1981,121.1
MT,1982,122.4
MT,1983,113.7
MT,1984,110.1
MT,1985,103.6
MT,1986,97.8
MT,1987,91.7
MT,1988,87.1
MT,1989,86.2
NE,1980,116.3
NE,1981,117
NE,1982,117.1
NE,1983,110.8
NE,1984,107.7
NE,1985,105.1
NE,1986,103.1
NE,1987,101.3
NE,1988,92.9
NE,1989,93.8
NV,1980,177.7
NV,1981,171.9
NV,1982,165.1
NV,1983,159.2
NV,1984,136.6
NV,1985,146.7
NV,1986,142.6
NV,1987,147.7
NV,1988,141.9
NV,1989,137.9
NH,1980,247.8
NH,1981,245.4
NH,1982,239.8
NH,1983,232.9
NH,1984,215.1
NH,1985,201.1
NH,1986,195.9
NH,1987,195.1
NH,1988,180.4
NH,1989,172.9
NJ,1980,124.3
NJ,1981,127.9
NJ,1982,126.3
NJ,1983,121.3
NJ,1984,117.8
NJ,1985,116.9
NJ,1986,115.5
NJ,1987,111.6
NJ,1988,107.8
NJ,1989,103
NM,1980,102.7
NM,1981,103
NM,1982,97.5
NM,1983,96.3
NM,1984,88.9
NM,1985,88
NM,1986,88.2
NM,1987,82.3
NM,1988,77.7
NM,1989,74.4
NY,1980,127.6
NY,1981,130.1
NY,1982,128.5
NY,1983,124.6
NY,1984,119.3
NY,1985,115.9
NY,1986,114
NY,1987,108.9
NY,1988,106.2
NY,1989,100.1
NC,1980,187.8
NC,1981,179.3
NC,1982,179
NC,1983,169.7
NC,1984,160.6
NC,1985,156.3
NC,1986,154.4
NC,1987,150.5
NC,1988,146
NC,1989,139.3
ND,1980,123.7
ND,1981,125.7
ND,1982,126.8
ND,1983,119.6
ND,1984,109.4
ND,1985,103.2
ND,1986,99.8
ND,1987,92.3
ND,1988,87.1
ND,1989,84.1
OH,1980,133.5
OH,1981,132.8
OH,1982,134
OH,1983,130
OH,1984,127.1
OH,1985,126.7
OH,1986,126.3
OH,1987,124.6
OH,1988,122.4
OH,1989,118.6
OK,1980,141.6
OK,1981,143.7
OK,1982,147
OK,1983,140
OK,1984,128.1
OK,1985,124.2
OK,1986,119.9
OK,1987,113.1
OK,1988,103.6
OK,1989,97.5
OR,1980,146.5
OR,1981,143.1
OR,1982,135.3
OR,1983,124.6
OR,1984,118
OR,1985,118.6
OR,1986,112
OR,1987,108.9
OR,1988,108.2
OR,1989,106.6
PA,1980,124
PA,1981,125.2
PA,1982,123.3
PA,1983,125.3
PA,1984,115.3
PA,1985,115.8
PA,1986,113.9
PA,1987,110.6
PA,1988,107.6
PA,1989,107.1
Rl,1980,149.3
Rl,1981,151.2
Rl,1982,146.3
Rl,1983,135.8
Rl,1984,136.9
Rl,1985,133.4
Rl,1986,136.3
Rl,1987,124.4
Rl,1988,138
Rl,1989,120.8
SC,1980,138.3
SC,1981,136.1
SC,1982,136
SC,1983,131.1
SC,1984,127
SC,1985,125.4
SC,1986,126.6
SC,1987,126.6
SC,1988,124.4
SC,1989,122.4
SD,1980,114.7
SD,1981,115.7
SD,1982,113
SD,1983,109.8
SD,1984,105.7
SD,1985,104.4
SD,1986,97
SD,1987,95.8
SD,1988,91.9
SD,1989,87.4
TN,1980,130.4
TN,1981,129.1
TN,1982,131.4
TN,1983,129
TN,1984,125.1
TN,1985,128.7
TN,1986,107.9
TN,1987,130.6
TN,1988,125.3
TN,1989,124.7
TX,1980,129.7
TX,1981,129
TX,1982,131.2
TX,1983,126.4
TX,1984,117.2
TX,1985,115.9
TX,1986,113.7
TX,1987,105.8
TX,1988,96.5
TX,1989,94.5
UT,1980,74.8
UT,1981,77.6
UT,1982,73.6
UT,1983,69
UT,1984,66.3
UT,1985,66.5
UT,1986,64.4
UT,1987,67.7
UT,1988,55
UT,1989,57
VT,1980,161.6
VT,1981,163.8
VT,1982,162.3
VT,1983,153.8
VT,1984,144.3
VT,1985,144.5
VT,1986,131.2
VT,1987,128.3
VT,1988,128.7
VT,1989,120.9
VA,1980,148.9
VA,1981,149.9
VA,1982,147.4
VA,1983,144.7
VA,1984,136.8
VA,1985,134.6
VA,1986,135.8
VA,1987,133
VA,1988,129.5
VA,1989,122.5
WA,1980,101.4
WA,1981,112.7
WA,1982,106.6
WA,1983,102.4
WA,1984,96.2
WA,1985,96.5
WA,1986,94.2
WA,1987,91.3
WA,1988,88.2
WA,1989,86.1
WV,1980,122.3
WV,1981,120.5
WV,1982,119.8
WV,1983,115.7
WV,1984,111.9
WV,1985,109.1
WV,1986,112.1
WV,1987,107.5
WV,1988,109.1
WV,1989,104
Wl,1980,117.6
Wl,1981,119.9
Wl,1982,115.6
Wl,1983,106.3
Wl,1984,105.6
Wl,1985,107
Wl,1986,105.4
Wl,1987,106
Wl,1988,102.6
Wl,1989,100.3
WY,1980,158.1
WY,1981,163.1
WY,1982,157.7
WY,1983,141.2
WY,1984,128.9
WY,1985,125.7
WY,1986,124.8
WY,1987,110.4
WY,1988,114.3
WY,1989,111.4
AL,1990,108.6
AL,1991,107.9
AL,1992,109.1
AL,1993,108.5
AL,1994,107.1
AL,1995,102.6
AL,1996,101.4
AL,1997,104.9
AL,1998,106.2
AL,1999,100.7
AK,1990,100.2
AK,1991,101.8
AK,1992,98.5
AK,1993,95.2
AK,1994,94.1
AK,1995,89.5
AK,1996,89.9
AK,1997,81.7
AK,1998,78.6
AK,1999,70.5
AZ,1990,88.9
AZ,1991,81.2
AZ,1992,79
AZ,1993,80.3
AZ,1994,79
AZ,1995,77.3
AZ,1996,71.4
AZ,1997,64.6
AZ,1998,66
AZ,1999,61.7
AR,1990,113.1
AR,1991,116.8
AR,1992,126
AR,1993,113.8
AR,1994,108.8
AR,1995,113
AR,1996,110.7
AR,1997,108.7
AR,1998,109.5
AR,1999,104.8
CA,1990,77.8
CA,1991,68.7
CA,1992,67.5
CA,1993,63.4
CA,1994,58.6
CA,1995,56.4
CA,1996,54.5
CA,1997,53.8
CA,1998,52.3
CA,1999,47.2
CO,1990,87.4
CO,1991,90.2
CO,1992,88.3
CO,1993,88.6
CO,1994,89.1
CO,1995,85.4
CO,1996,83.1
CO,1997,81.3
CO,1998,81.2
CO,1999,79.6
CT,1990,91.5
CT,1991,86.7
CT,1992,83.6
CT,1993,79.1
CT,1994,76.6
CT,1995,79.3
CT,1996,76
CT,1997,75.9
CT,1998,75.5
CT,1999,73.4
DE,1990,127.2
DE,1991,118.8
DE,1992,120
DE,1993,123.8
DE,1994,126.1
DE,1995,127.2
DE,1996,128.3
DE,1997,124.1
DE,1998,132.8
DE,1999,139.5
DC,1990,84.1
DC,1991,82.2
DC,1992,82.6
DC,1993,68
DC,1994,54.1
DC,1995,57.9
DC,1996,56
DC,1997,54.3
DC,1998,50.9
DC,1999,50.8
FL,1990,110.1
FL,1991,98.2
FL,1992,95.9
FL,1993,96.8
FL,1994,93.6
FL,1995,95.4
FL,1996,91.8
FL,1997,93
FL,1998,91.7
FL,1999,88.2
GA,1990,113.8
GA,1991,109.6
GA,1992,109.2
GA,1993,109.2
GA,1994,107.8
GA,1995,100.3
GA,1996,102.7
GA,1997,100.6
GA,1998,100.5
GA,1999,97.1
Hl,1990,48.9
Hl,1991,54.7
Hl,1992,51.3
Hl,1993,52.4
Hl,1994,44.2
Hl,1995,45.7
Hl,1996,51.6
Hl,1997,49.1
Hl,1998,35.5
Hl,1999,32.5
ID,1990,90.1
ID,1991,85.4
ID,1992,85.1
ID,1993,86.7
ID,1994,93
ID,1995,78.2
ID,1996,73.6
ID,1997,75
ID,1998,78.9
ID,1999,75.1
IL,1990,94.1
IL,1991,96.1
IL,1992,94.8
IL,1993,94.6
IL,1994,85.7
IL,1995,84.3
IL,1996,81.8
IL,1997,79.6
IL,1998,80.3
IL,1999,72.2
IN,1990,128.3
IN,1991,127.2
IN,1992,128.2
IN,1993,126.8
IN,1994,128.2
IN,1995,135.4
IN,1996,135.1
IN,1997,135.3
IN,1998,135.9
IN,1999,133.3
IA,1990,95.4
IA,1991,97.1
IA,1992,95.2
IA,1993,92.5
IA,1994,93.4
IA,1995,93
IA,1996,94
IA,1997,93.9
IA,1998,94
IA,1999,91.7
KS,1990,94.3
KS,1991,91.8
KS,1992,90
KS,1993,89.9
KS,1994,89.1
KS,1995,90.1
KS,1996,88.7
KS,1997,89.2
KS,1998,87.6
KS,1999,83.3
KY,1990,182.5
KY,1991,170.8
KY,1992,167.6
KY,1993,167.6
KY,1994,170.2
KY,1995,175.3
KY,1996,179
KY,1997,186.8
KY,1998,171.3
KY,1999,165.3
LA,1990,101.5
LA,1991,107.2
LA,1992,108.5
LA,1993,106.2
LA,1994,105.3
LA,1995,105.7
LA,1996,106.8
LA,1997,105.3
LA,1998,103.2
LA,1999,101
ME,1990,117.5
ME,1991,116.1
ME,1992,114.7
ME,1993,108.5
ME,1994,101.6
ME,1995,102.3
ME,1996,100
ME,1997,101.1
ME,1998,94.5
ME,1999,85.5
MD,1990,102.8
MD,1991,97.6
MD,1992,91.7
MD,1993,82.6
MD,1994,80.8
MD,1995,77.1
MD,1996,75
MD,1997,72.7
MD,1998,72
MD,1999,71.4
MA,1990,99.4
MA,1991,93.5
MA,1992,90.5
MA,1993,84.1
MA,1994,77
MA,1995,76.9
MA,1996,74.6
MA,1997,66.7
MA,1998,63.6
MA,1999,60.4
Ml,1990,114.4
Ml,1991,110.3
Ml,1992,107.6
Ml,1993,106.5
Ml,1994,112.9
Ml,1995,82.8
Ml,1996,82.9
Ml,1997,75.6
Ml,1998,73.7
Ml,1999,81.7
MN,1990,90.7
MN,1991,86.2
MN,1992,83.8
MN,1993,81.6
MN,1994,83.4
MN,1995,84.1
MN,1996,81.7
MN,1997,84.1
MN,1998,83.2
MN,1999,80.7
MS,1990,101.8
MS,1991,105.6
MS,1992,103.9
MS,1993,105.4
MS,1994,106
MS,1995,107.5
MS,1996,106.9
MS,1997,106.3
MS,1998,107
MS,1999,103.9
MO,1990,119.1
MO,1991,119.9
MO,1992,122.3
MO,1993,121.6
MO,1994,119.4
MO,1995,124
MO,1996,124.1
MO,1997,120.6
MO,1998,120.1
MO,1999,118
MT,1990,84.7
MT,1991,82.9
MT,1992,86.6
MT,1993,86
MT,1994,88.2
MT,1995,90.5
MT,1996,87.3
MT,1997,88.9
MT,1998,89.1
MT,1999,82.6
NE,1990,89.9
NE,1991,92.4
NE,1992,90.6
NE,1993,91.1
NE,1994,85.9
NE,1995,88.5
NE,1996,86.2
NE,1997,85.5
NE,1998,79.7
NE,1999,86.8
NV,1990,137.3
NV,1991,115.5
NV,1992,110
NV,1993,108.1
NV,1994,105.2
NV,1995,100.9
NV,1996,99
NV,1997,95.6
NV,1998,102.4
NV,1999,103.9
NH,1990,152.4
NH,1991,144.8
NH,1992,143.7
NH,1993,148.9
NH,1994,153.8
NH,1995,158.5
NH,1996,158
NH,1997,174.4
NH,1998,173.8
NH,1999,171.7
NJ,1990,98.6
NJ,1991,86.7
NJ,1992,86.6
NJ,1993,82.9
NJ,1994,81.6
NJ,1995,81
NJ,1996,79.1
NJ,1997,77
NJ,1998,72.6
NJ,1999,63.6
NM,1990,70.8
NM,1991,69.9
NM,1992,71.4
NM,1993,69
NM,1994,68.2
NM,1995,67
NM,1996,65.7
NM,1997,61.8
NM,1998,62.6
NM,1999,59.7
NY,1990,93.7
NY,1991,86.4
NY,1992,82.4
NY,1993,78.2
NY,1994,71.6
NY,1995,70.5
NY,1996,65.9
NY,1997,64.5
NY,1998,64.9
NY,1999,62.9
NC,1990,133.7
NC,1991,132.7
NC,1992,128.8
NC,1993,129.7
NC,1994,112.7
NC,1995,124.9
NC,1996,129.7
NC,1997,125.6
NC,1998,126
NC,1999,113.1
ND,1990,77.1
ND,1991,85.2
ND,1992,74.4
ND,1993,83
ND,1994,81
ND,1995,80.6
ND,1996,80.8
ND,1997,77.5
ND,1998,79.1
ND,1999,74.7
OH,1990,115.5
OH,1991,113.2
OH,1992,112.3
OH,1993,108.9
OH,1994,108.6
OH,1995,111.7
OH,1996,107.6
OH,1997,108.6
OH,1998,106.4
OH,1999,104
OK,1990,88.4
OK,1991,87.8
OK,1992,86.3
OK,1993,86.2
OK,1994,104.8
OK,1995,109.5
OK,1996,110.8
OK,1997,111.8
OK,1998,112.2
OK,1999,111.4
OR,1990,102.5
OR,1991,100.1
OR,1992,101.6
OR,1993,98.7
OR,1994,96.6
OR,1995,94.6
OR,1996,94.3
OR,1997,89.5
OR,1998,84.2
OR,1999,79.9
PA,1990,101.3
PA,1991,102.5
PA,1992,96.2
PA,1993,94.7
PA,1994,95.4
PA,1995,95.4
PA,1996,93.3
PA,1997,92.9
PA,1998,92.1
PA,1999,91.1
Rl,1990,101.4
Rl,1991,103.6
Rl,1992,100.1
Rl,1993,94.1
Rl,1994,91.9
Rl,1995,90.8
Rl,1996,87.5
Rl,1997,90
Rl,1998,88.7
Rl,1999,86.9
SC,1990,118.6
SC,1991,121.5
SC,1992,112.9
SC,1993,115.2
SC,1994,112.2
SC,1995,109.2
SC,1996,102.9
SC,1997,124.5
